symbol,code,name,sector[wstock : cn : daily]
SZ002083,002083,ZRGF-孚日股份,--
SZ002084,002084,HOWY-海鸥卫浴,--
SZ002085,002085,WFAW-万丰奥威,--
SZ002086,002086,DFHY-东方海洋,--
SZ002087,002087,XYFZ-新野纺织,--
SZ002088,002088,LYGF-鲁阳股份,--
SZ002089,002089,XHY-新海宜,--
SZ002090,002090,JZKJ-金智科技,--
SZ002091,002091,JSGT-江苏国泰,--
SZ002092,002092,ZTHX-中泰化学,--
SZ002093,002093,GMKJ-国脉科技,--
SZ002094,002094,QDJW-青岛金王,--
SZ002095,002095,SYB-生意宝,--
SZ002096,002096,NLMB-南岭民爆,--
SZ002097,002097,SHZN-山河智能,--
SZ002098,002098,ZXGF-浔兴股份,--
SZ002099,002099,HXYY-海翔药业,--
SZ002100,002100,TKSW-天康生物,--
SZ002101,002101,GDHT-广东鸿图,--
SZ002102,002102,GFGF-冠福股份,--
SZ002103,002103,GBGF-广博股份,--
SZ002104,002104,HBGF-恒宝股份,--
SZ002105,002105,XLSY-信隆实业,--
SZ002106,002106,LBGK-莱宝高科,--
SZ002107,002107,WHYY-沃华医药,--
SZ002108,002108,CZMZ-沧州明珠,--
SZ002109,002109,XHGF-兴化股份,--
SZ002110,002110,SGMG-三钢闽光,--
SZ002111,002111,WHGT-威海广泰,--
SZ002112,002112,SBKJ-三变科技,--
SZ002113,002113,TRKG-天润控股,--
SZ002114,002114,LPXD-罗平锌电,--
SZ002115,002115,SWTX-三维通信,--
SZ002116,002116,ZGHC-中国海诚,--
SZ002117,002117,DGGF-东港股份,--
SZ002118,002118,ZZYY-紫鑫药业,--
SZ002119,002119,KQDZ-康强电子,--
SZ002120,002120,XHGF-新海股份,--
SZ002121,002121,KLDZ-科陆电子,--
SZ002122,002122,TMGF-天马股份,--
SZ002123,002123,RXGF-荣信股份,--
SZ002124,002124,TBGF-天邦股份,--
SZ002125,002125,XTDH-湘潭电化,--
SZ002126,002126,YLGF-银轮股份,--
SZ002127,002127,*STXM-*ST新民,--
SZ002128,002128,LTMY-露天煤业,--
SZ002129,002129,ZHGF-中环股份,--
SZ002130,002130,WEHC-沃尔核材,--
SZ002131,002131,LOGF-利欧股份,--
SZ002132,002132,HXKJ-恒星科技,--
SZ002133,002133,GYJT-广宇集团,--
SZ002134,002134,*STPL-*ST普林,--
SZ002135,002135,DNWJ-东南网架,--
SZ002136,002136,AND-安纳达,--
SZ002137,002137,SYD-实益达,--
SZ002138,002138,SLDZ-顺络电子,--
SZ002139,002139,TBGF-拓邦股份,--
SZ002140,002140,DHKJ-东华科技,--
SZ002141,002141,RSCW-蓉胜超微,--
SZ002142,002142,NBYH-宁波银行,--
SZ002143,002143,GJSP-高金食品,--
SZ002144,002144,HDGK-宏达高科,--
SZ002145,002145,ZHZB-中核钛白,--
SZ002146,002146,RSFZ-荣盛发展,--
SZ002147,002147,FYZC-方圆支承,--
SZ002148,002148,BWTX-北纬通信,--
SZ002149,002149,XBCL-西部材料,--
SZ002150,002150,TRZB-通润装备,--
SZ002151,002151,BDXT-北斗星通,--
SZ002152,002152,GDYT-广电运通,--
SZ002153,002153,SJXX-石基信息,--
SZ002154,002154,BXN-报喜鸟,--
SZ002155,002155,CZKY-辰州矿业,--
SZ002156,002156,TFWD-通富微电,--
SZ002157,002157,ZBKJ-正邦科技,--
SZ002158,002158,HZJJ-汉钟精机,--
SZ002159,002159,STSD-三特索道,--
