symbol,code,name,sector[shareinvestor : sg : daily]
AFC.SI,AFC,Yuuzoo Corporation Limited,Internet Software and Services,Software and Services
AGS.SI,AGS,The Hour Glass Limited,Specialty Retail,Retailing
AIY.SI,AIY,iFAST Corporation Ltd.,Internet Software and Services,Software and Services
AJ2.SI,AJ2,Ouhua Energy Holdings Limited,Oil | Gas and Consumable Fuels,Energy
AJBU.SI,AJBU,Keppel DC REIT,Equity Real Estate Investment Trusts (REITs),Real Estate
AP4.SI,AP4,Riverstone Holdings Limited,Commercial Services and Supplies,Commercial and Professional Services
ATL.SI,ATL,Courage Marine Group Limited,Marine,Transportation
AU8U.SI,AU8U,CapitaLand Retail China Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
AVM.SI,AVM,Boustead Projects Limited,Construction and Engineering,Capital Goods
AVV.SI,AVV,CEI Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
AVX.SI,AVX,HL Global Enterprises Limited,Hotels | Restaurants and Leisure,Consumer Services
AVZ.SI,AVZ,Aztech Group Ltd.,Communications Equipment,Technology Hardware and Equipment
AW9U.SI,AW9U,First Real Estate Investment Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
AWC.SI,AWC,Brook Crompton Holdings Ltd.,Trading Companies and Distributors,Capital Goods
AWE.SI,AWE,SP Corporation Limited,Trading Companies and Distributors,Capital Goods
AWG.SI,AWG,AEI Corporation Ltd.,Machinery,Capital Goods
AWI.SI,AWI,Thakral Corporation Ltd,Distributors,Retailing
AWK.SI,AWK,Fuxing China Group Limited,Textiles | Apparel and Luxury Goods,Consumer Durables and Apparel
AWM.SI,AWM,Shanghai Turbo Enterprises Ltd.,Electrical Equipment,Capital Goods
AWO.SI,AWO,Mirach Energy Limited,Energy Equipment and Services,Energy
AWS.SI,AWS,Global Yellow Pages Limited,Media,Media
AWV.SI,AWV,Captii Limited,Communications Equipment,Technology Hardware and Equipment
AWX.SI,AWX,AEM Holdings Ltd.,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment
AWZ.SI,AWZ,Multi-Chem Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
AXB.SI,AXB,Yongnam Holdings Limited,Construction and Engineering,Capital Goods
AXH.SI,AXH,Advanced Integrated Manufacturing Corp. Ltd.,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
AXJ.SI,AXJ,GMG Global Ltd,Food Products,Food | Beverage and Tobacco
AXL.SI,AXL,China Fibretech Ltd.,Textiles | Apparel and Luxury Goods,Consumer Durables and Apparel
AXV.SI,AXV,Changtian Plastic & Chemical Limited,Chemicals,Materials
AYB.SI,AYB,Lafe Corporation Limited,Real Estate Management and Development,Real Estate
AYD.SI,AYD,Plastoform Holdings Limited,Household Durables,Consumer Durables and Apparel
AYF.SI,AYF,Uni-Asia Holdings Limited,Capital Markets,Diversified Financials
AYL.SI,AYL,STAR Pharmaceutical Limited,Pharmaceuticals,Pharmaceuticals | Biotechnology and Life Sciences
AYN.SI,AYN,Global Testing Corporation Limited,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment
AYV.SI,AYV,Acma Ltd.,Machinery,Capital Goods
AZA.SI,AZA,IPC Corporation Ltd,Real Estate Management and Development,Real Estate
AZG.SI,AZG,8Telecom International Holdings Co. Ltd.,Communications Equipment,Technology Hardware and Equipment
AZI.SI,AZI,AusNet Services Ltd,Electric Utilities,Utilities
AZR.SI,AZR,United Food Holdings Limited,Food Products,Food | Beverage and Tobacco
AZT.SI,AZT,NutryFarm International Limited,Personal Products,Household and Personal Products
