date,transaction,volume,amount,pe,market value,negotiable value,exchange rate
2013-04-01,361.4236,779257.2521,672.11115212,12.181,157155.2576191949,134001.817191596,0.3907
2013-04-02,409.951,904742.9601,781.9300863,12.146,156667.813201329,133576.7618640652,0.453
2013-04-03,376.4325,819101.9122,688.52335225,12.137,156544.0394753147,133429.6470239862,0.4124
2013-04-08,400.6451,867313.2316,739.10546255,12.064,155595.6390218515,132576.3683805604,0.4354
2013-04-09,385.9241,833038.9,734.32256381,12.141,156621.5509863946,133414.1361034821,0.4189
2013-04-10,375.3378,815270.2351,718.57253654,12.142,156652.0510964971,133499.4973702563,0.4097
2013-04-11,351.655,743102.804,625.52159554,12.107,156192.1685537024,133125.9785628381,0.3737
2013-04-12,311.8733,678191.5165,569.06234847,12.038,155293.2974171722,132392.781654376,0.3404
2013-04-15,334.5856,723820.5317,586.8053885,11.906,153539.7350510831,130821.2084734489,0.3637
2013-04-16,352.8321,805900.3866,672.61931867,11.977,154447.5550788842,131622.0928677345,0.404
2013-04-17,311.2365,691285.1639,604.70052854,11.971,154354.9265187359,131584.4413754388,0.3467
2013-04-18,322.08,717668.421,619.63890443,11.992,154647.3857423093,131815.6131424057,0.3609
2013-04-19,468.0923,1099164.8909,955.34985889,12.25,157975.2786865807,134620.7831529133,0.5531
2013-04-22,414.9779,958524.3152,824.26468434,12.237,157752.3122583133,134370.2999707509,0.4799
2013-04-23,465.7806,970099.2743,823.51127321,11.924,153805.325468105,130980.4283201397,0.486
2013-04-24,403.5294,921440.3236,792.30933321,12.109,156191.0919100518,132945.105733171,0.4617
2013-04-25,444.898,969625.4433,846.24666294,12.008,154871.9818294114,131844.0303905908,0.4873
2013-04-26,358.4833,770329.0286,655.074909,11.894,153372.4519911803,130592.9498220152,0.3864
2013-05-02,308.2855,688260.77,600.8298146,11.162,153103.2863137385,130458.7622559698,0.344
2013-05-03,377.161,904005.005,801.14351922,11.323,155312.7180720582,132362.5719138217,0.4534
2013-05-06,395.4083,936329.5951,829.67690529,11.455,157120.8211156083,133919.3853456663,0.4679
2013-05-07,405.6575,876114.2544,801.65296667,11.475,157431.3186221372,134127.1573754621,0.4381
2013-05-08,422.738,914869.1638,822.68782279,11.532,158167.4258415705,134715.5665389842,0.4562
2013-05-09,470.0964,993840.0894,917.92877714,11.464,157247.9467622888,133917.1926734474,0.4987
2013-05-10,413.9919,909028.2452,818.52861026,11.534,158127.407183348,134685.2717801497,0.4553
2013-05-13,390.2337,886813.9263,800.72822724,11.508,157932.3041527872,134429.7124658209,0.4336
2013-05-14,411.7265,837805.3417,759.48364043,11.377,156106.6245221069,132827.9475810599,0.419
2013-05-15,343.6703,723415.6252,669.22212899,11.416,156615.9129397411,133204.4298528308,0.3622
2013-05-16,512.6395,1105972.6589,1025.37210888,11.558,158523.7048804537,134989.3527945139,0.5548
2013-05-17,552.1307,1265316.9379,1115.7461887,11.718,160790.7375933533,136873.0260885661,0.6343
2013-05-20,595.28,1406097.9459,1296.4682084,11.804,161972.1071078268,137837.3740455297,0.7039
2013-05-21,565.0485,1257088.4704,1140.39471883,11.827,162390.0168296237,138130.196746718,0.628
2013-05-22,580.3164,1292202.5663,1159.36640767,11.813,161897.4506722475,137539.0831763504,0.6466
2013-05-23,559.4282,1249763.4938,1118.36914762,11.686,160589.0572700008,136566.9631971177,0.6244
2013-05-24,462.6463,1018887.1599,922.96683257,11.747,161459.2095056566,137242.6341386785,0.5089
2013-05-27,490.7571,1077162.3062,1001.05769055,11.769,161701.6065709645,137411.0569276647,0.5384
2013-05-28,586.377,1342762.5138,1213.60762067,11.915,163794.315261586,139292.6238244793,0.667
2013-05-29,546.8452,1266935.3793,1151.57152237,11.928,163981.5186715602,139386.1217877892,0.6317
2013-05-30,513.6966,1130548.8687,1043.38038188,11.895,163542.1119030495,139030.3621832146,0.5626
2013-05-31,516.8669,1084586.6476,1009.63047022,11.807,162317.7214739966,138006.6268889435,0.5425
2013-06-03,456.1802,974292.6106,919.32094753,11.8,162139.400033572,137914.9578667602,0.4858
2013-06-04,495.015,1022380.1576,926.58414626,11.665,160310.2382360012,136373.190352463,0.5105
2013-06-05,368.519,772706.4166,715.59359917,11.658,160242.2160085403,136271.6451731192,0.3837
2013-06-06,386.0027,817391.5212,754.39355633,11.509,158069.3090855366,134388.5925434079,0.4086
2013-06-07,429.8247,906056.7535,815.07755067,11.349,155834.295059299,132495.4451053176,0.4527
2013-06-13,431.9669,955114.42,803.78657385,11.027,151588.9553098954,128763.1017254324,0.4742
2013-06-14,371.3209,786980.2237,692.03436385,11.098,152555.0696544874,129512.4502548539,0.3907
